population,price,income,employment,poverty,area
2602,587400,81534,74.1,397,546
4470,450000,95832,65.9,744,547
7020,0,51834,65.2,1273,548
2227,572600,41380,71.6,437,549
4718,275000,37087,71.7,690,550
5093,567600,32808,69.2,886,551
3170,361800,48453,70.9,479,552
2669,472700,55277,74.4,252,553
3714,457900,33999,69.2,548,554
3994,385000,44454,63.9,476,555
4815,283700,46053,66.7,689,556
3865,517900,50963,73.4,707,557
4412,0,32649,66.5,1082,558
3271,"1,000,000+",28478,61.5,606,559
2528,0,38811,69.5,429,560
2255,0,36570,78.3,534,561
3799,0,34602,70.1,676,562
3640,510400,21922,61.6,1076,563
5057,0,27894,62.8,1803,564
3435,0,26799,60.2,1139,565
2119,500000,22330,52.5,694,566
2523,709800,61425,73.4,668,567
4810,0,32938,58.2,1323,568
3878,115000,32478,71.5,813,569
3772,0,32277,82.9,796,570
3614,0,30703,54.1,1125,571
2778,752900,35770,72.3,497,572
2493,750000,30890,73.9,408,573
2768,468600,29557,61.5,565,574
2656,262100,32484,75.1,570,575
3169,"1,000,000+",32539,61.5,524,576
4346,530000,241706,69.4,185,577
5386,736100,56565,71.9,431,578
2396,0,50657,75.5,401,579
2703,525500,46937,75.7,419,580
2921,770800,40386,75.7,501,581
2491,445500,37943,78.6,437,582
4252,774600,39583,72.1,890,583
3206,803100,42605,73.3,563,584
2845,583000,50147,69.5,360,585
3238,"1,000,000+",45439,73.4,464,586
5024,800000,103415,75.5,429,587
3150,640600,183303,70.9,116,588
5184,396500,43502,68.2,471,589
2944,258500,43025,63.7,279,590
4429,294100,43342,79.2,559,591
3808,782100,40526,68.2,538,592
3220,228600,45107,64.1,520,593
4825,0,44901,77.1,705,594
2213,198100,46796,71.7,376,595
3679,362500,45790,80.3,333,596
2175,404500,47070,75.4,392,597
2192,371200,29457,56.2,228,598
3515,0,34478,74.6,785,599
2930,0,29715,70.9,356,600
3837,0,33773,76.5,693,601
3187,0,48883,80.7,576,602
1912,0,30821,80.4,302,603
2999,0,34563,76.9,415,604
3378,592600,37846,75.9,506,605
4160,796900,42299,74,730,606
3250,0,36985,69.3,543,607
2154,508300,43557,78.4,258,608
2963,600000,63903,68.7,304,609
4156,821600,60852,72.3,549,610
4576,718000,43770,73.1,643,611
2390,731400,60863,60.1,149,612
3733,646200,116853,70.5,190,613
3715,666700,63006,64.8,603,614
4312,735600,41096,65.2,692,615
3073,666700,59249,62.1,426,616
4293,567900,37888,65.3,624,617
3935,559700,37919,70.2,636,618
3696,518800,39450,63.8,397,619
2179,0,30066,61.8,347,620
5496,691500,37864,80.3,624,621
4632,"1,000,000+",39727,75.6,473,622
3579,"1,000,000+",143674,71.2,82,623
4042,"1,000,000+",165114,71.1,90,624
2987,"1,000,000+",90248,87.8,397,625
2792,0,103102,77.6,223,626
5137,0,76066,65.8,1161,627
3419,983200,101093,75.1,186,628
2389,"1,000,000+",124199,76.5,191,629
2523,"1,000,000+",129986,77.1,100,630
2822,628900,131535,78.1,164,631
2755,654000,90280,80.5,293,632
2607,0,90363,80.2,269,633
2370,0,66424,89.4,197,634
3271,929800,73334,87,464,635
2537,849300,125981,69.4,99,636
4880,"1,000,000+",116955,82.8,452,637
4807,616900,113572,73.2,318,638
4856,540300,80555,75.1,349,639
2788,646100,79971,72.8,257,640
4044,"1,000,000+",84732,74.1,238,641
3473,707200,133425,75.3,295,642
4855,960200,84717,73.2,282,643
2612,805900,111437,67.5,88,644
5119,508900,84062,70.7,267,645
5607,770200,76138,81.5,597,646
3891,538400,81790,74.8,295,647
3584,537300,59378,68.5,278,648
4842,466500,38922,70.2,1078,649
3911,486400,37120,65.1,441,650
4591,566300,66305,57.1,579,651
5475,469100,47398,65.4,764,652
4162,343100,40999,58.9,633,653
3167,454700,49062,69.2,382,654
3640,733300,51943,59.5,599,655
2099,391700,59223,66.9,274,656
2305,674300,45578,58.6,489,657
2565,607700,54146,74.5,346,658
5469,406000,44539,60.2,771,659
2652,397500,47700,65.9,299,660
3920,403400,46987,67.9,480,661
4274,433700,46631,54.7,702,662
1817,388000,88872,67.4,73,663
4304,452400,55378,76.1,341,664
3033,410600,40647,70.1,403,665
4698,452600,34034,67.4,704,666
4017,438400,49590,70,313,667
5614,509500,45900,66.2,770,668
2113,566000,46043,58.4,385,669
3607,453500,39862,70,641,670
3349,493800,42472,72.9,463,671
3133,532700,44938,71.5,517,672
3530,608400,38432,75.6,483,673
4848,767600,38408,69.8,1085,674
2702,392900,39476,67,548,675
